Address,City,State,Zipcode,Name,Phone,URL,longitude,latitude,,
6386 Del Cerro Blvd.,San Diego,CA,92120,Windmill Farms,619-287-1400,http://www.organicfood-sandiego.com/,-117.059713,32.783756,,
11710 Carmel Mountain Rd,San Diego,CA,92128,Sprouts Farmers Market,,,-117.08015,32.98109,,
510 W. 13th Street,Escondido,CA,92025,Sprouts Farmers Market,,,-117.080392,33.107992,,
32413 Temecula Parkway,Temecula,CA,92592,Sprouts Farmers Market,,,-117.091853,33.48097,,
39606 Winchester Rd,Rancho Temecula,CA,92591,Sprouts Farmers Market,,,-117.142344,33.541226,,
4175 Park Blvd,San Diego,CA,92103,Sprouts Farmers Market,,,-117.145875,32.753421,,
711 University Avenue,SAN DIEGO,CA,92103,Whole Foods Market HILLCREST,619-294-2800,http://www.wholefoodsmarket.com/,-117.158078,32.748023,,
4439 Genesee Ave,San Diego,CA,92117,Sprouts Farmers Market,,,-117.18513,32.82391,,
149 S. Las Posas Road,San Marcos,CA,92078,Sprouts Farmers Market,,,-117.190438,33.140425,,
3315 Rosecrans St #B,San Diego,CA,92110,Sprouts Farmers Market,,,-117.206512,32.747546,,
3358 Governor Dr,San Diego,CA,92122,Sprouts Farmers Market,,,-117.214508,32.851752,,
3243 Camino de los Coches,Carlsbad,CA,92009,Sprouts Farmers Market,,,-117.238634,33.074971,,
1260 Garnet Ave,San Diego,CA,92109,Sprouts Farmers Market,,,-117.247016,32.798675,,
659 Lomas Santa Fe Dr,Solana Beach,CA,92075,Sprouts Farmers Market,,,-117.259749,32.995639,,
1327 Encinitas Blvd,Encinitas,CA,92024,Sprouts Farmers Market,,,-117.2609,33.04477,,
471 College Blvd #1,Oceanside,CA,92057,Sprouts Farmers Market,,,-117.29092,33.24445,,
2618 El Camino Real,Carlsbad,CA,92008,Sprouts Farmers Market,,,-117.324861,33.176509,,
475 East Alessandro Blvd,Riverside,CA,92508,Sprouts Farmers Market,,,-117.32859,33.9163,,
1820 Oceanside Blvd,Oceanside,CA,92054,Frazier Farms Market Oceanside,,http://www.frazierfarmsmarket.com/,-117.35861,33.19244,,
7355 Day Creek Blvd,Rancho Cucamonga,CA,91739,Sprouts Farmers Market,,,-117.535259,34.119797,,
120 W. Ontario Ave,Corona,CA,92882,Sprouts Farmers Market,,,-117.570758,33.855807,,
9456 Roberds St. ,Rancho Cucamonga,CA,91701,Viva La Vegan Grocery,(909) 941-4495,,-117.599087,34.1224,,
27765 Santa Margarita Pkwy,Mission Viejo,CA,92691,Sprouts Farmers Market,,,-117.645991,33.654249,,
847 W. Foothill Blvd,Upland,CA,91786,Sprouts Farmers Market,,,-117.661871,34.106996,,
27271 La Paz Road,Laguna Niguel,CA,92677,Sprouts Farmers Market,,,-117.70943,33.56711,,
24165 Paseo de Valencia ,Laguna Woods,CA,92653,Mothers Market and Kitchen-Laguna Woods,,https://www.mothersmarket.com/,-117.714278,33.611744,,
3630 Grand Ave,Chino Hills,CA,91709,Sprouts Farmers Market,,,-117.727517,34.003166,,
835 West Foothill Blvd,Claremont,CA,91711,Sprouts Farmers Market,,,-117.730037,34.107584,,
22401 Old Canal Road,Yorba Linda,CA,92887,Sprouts Farmers Market,,,-117.745105,33.873614,,
5759 East Santa Ana Canyon Road,Anaheim Hills,CA,92807,Mothers Market and Kitchen-Anaheim Hills,,https://www.mothersmarket.com/,-117.788287,33.853222,,
3011 El Camino Real,Tustin,CA,92782,Sprouts Farmers Market,,,-117.79365,33.72353,,
3775 Alton Pkwy,Irvine,CA,92606,Sprouts Farmers Market,,,-117.81487,33.6844,,
14945 Holt Avenue,Tustin,CA,92780,Sprouts Farmers Market,,,-117.815512,33.74647,,
2847 Park Avenue,TUSTIN,CA,92780,Whole Foods Market JAMBOREE,714-566-7650,http://www.wholefoodsmarket.com/,-117.82583,33.69647,,
17482 Yorba Linda Blvd,Yorba Linda,CA,92886,Sprouts Farmers Market,,,-117.829156,33.887642,,
1500 East Village Way #2279,Orange,CA,92865,Sprouts Farmers Market,,,-117.837789,33.827064,,
2963 Michelson Drive ,Irvine,CA,92612,Mothers Market and Kitchen-Irvine,,https://www.mothersmarket.com/,-117.846211,33.672099,,
151 E. Memory Lane,Santa Ana,CA,92705,Mothers Market and Kitchen-Santa Ana,,https://www.mothersmarket.com/,-117.866212,33.773222,,need to include in newsletter
415 Newport Center Dr,NEWPORT BEACH,CA,92660,Whole Foods Market NEWPORT BEACH,(949) 999-8572 ,http://www.wholefoodsmarket.com/,-117.87365,33.61654,,
413 S. Associated Road,Brea,CA,92821,Mothers Market and Kitchen-Brea,,https://www.mothersmarket.com/,-117.880472,33.912659,,
735 East Birch Street,Brea,CA,92821,Sprouts Farmers Market,,,-117.889327,33.918994,,
1890 Newport Blvd.,Costa Mesa,CA,92627,Mothers Market and Kitchen-Costa Mesa,,https://www.mothersmarket.com/,-117.916191,33.642584,,
255 E. 17th Street,Costa Mesa,CA,92627,Sprouts Farmers Market,,,-117.91683,33.63407,,
3030 Harbor Blvd,Costa Mesa,CA,92626,Sprouts Farmers Market,,,-117.91729,33.682418,,
1447 S. Harbor Blvd #D,Fullerton,CA,92832,Sprouts Farmers Market,,,-117.92436,33.85589,,
9861 Adams Ave,Huntington Beach,CA,92646,Sprouts Farmers Market,,,-117.955354,33.673364,,
19770 Beach Blvd. ,Huntington Beach,CA,92648,Mothers Market and Kitchen-Huntington Beach,,https://www.mothersmarket.com/,-117.987113,33.674833,,
7881 Edinger Ave Suite 150,HUNTINGTON BEACH,CA,92647,Whole Foods Market HUNTINGTON BEACH,,http://www.wholefoodsmarket.com/,-117.990502,33.731256,,
6942 Warner Ave,Huntington Beach,CA,92647,Sprouts Farmers Market,,,-118.007544,33.714469,,
400 West Huntington Dr,Monrovia,CA,91016,Sprouts Farmers Market,,,-118.007812,34.139607,,
12301 Seal Beach Blvd,Seal Beach,CA,90740,Sprouts Farmers Market,,,-118.073364,33.784244,,
39 N. Rosemead Blvd,Pasadena,CA,91107,Sprouts Farmers Market,,,-118.074004,34.14712,,
4253 Woodruff Ave,Lakewood,CA,90713,Sprouts Farmers Market,,,-118.117681,33.835715,,
465 South Arroyo Parkway,PASADENA,CA,91105,Whole Foods Market ARROYO,626-204-2266,http://www.wholefoodsmarket.com/,-118.147695,34.137502,,
820 N. Western Ave,San Pedro,CA,90732,Sprouts Farmers Market,,,-118.307996,33.750466,,
1011 N. San Fernando Blvd,Burbank,CA,91504,Sprouts Farmers Market,,,-118.318859,34.186893,,
1515 Hawthorne Blvd,Redondo Beach,CA,90278,Sprouts Farmers Market,,,-118.353947,33.868348,,
4230 Pacific Coast Hwy,Torrance,CA,90505,Sprouts Farmers Market,,,-118.359042,33.806516,,
6350 West 3rd Street,LOS ANGELES,CA,90036,Whole Foods Market FAIRFAX,323-964-6800,http://www.wholefoodsmarket.com/,-118.36077,34.0702,,
7871 Santa Monica Boulevard,WEST HOLLYWOOD,CA,90046,Whole Foods Market WEST HOLLYWOOD,323-848-4200,http://www.wholefoodsmarket.com/,-118.360773,34.091511,,
760 South Sepulveda Blvd.,EL SEGUNDO,CA,90245,Whole Foods Market PACIFIC COAST HIGHWAY,310-333-1900,http://www.wholefoodsmarket.com/,-118.39279,33.90626,,
5660 Sepulveda Blvd,Culver City,CA,90230,Sprouts Farmers Market,,,-118.394201,33.989256,,
13208 W Washington Blvd,Culver City,CA,90066,Rainbow Acres,(310) 823-8381,http://www.rainbowacresca.com/,-118.44158,33.99317,,
2723 Ocean Park Blvd,Santa Monica,CA,90405,Viva La Vegan Grocery,(909) 941-4495,http://www.vivalavegangrocery.com/,-118.45656,34.01852,,
225 Lincoln Blvd. ,VENICE,CA,90291,Whole Foods Market VENICE,310-56-69480,http://www.wholefoodsmarket.com/,-118.470066,34.001603,,
2201 Wilshire Blvd.,SANTA MONICA,CA,90403,Whole Foods Market SANTA MONICA,310-315-0662,http://www.wholefoodsmarket.com/,-118.481367,34.033249,,
18010 Chatsworth St,Granada Hills,CA,91344,Sprouts Farmers Market,,,-118.524303,34.263425,,
24285 Magic Mtn Pkwy,Santa Clarita,CA,91355,Sprouts Farmers Market,,,-118.560603,34.420728,,
21821 Ventura Blvd,Woodland Hills,CA,91364,Sprouts Farmers Market,,,-118.602969,34.169588,,
6605 Fallbrook Avenue,West Hills,CA,91307,Sprouts Farmers Market,,,-118.62443,34.18933,,
1012 Westlake Blvd,Westlake Village,CA,91361,Sprouts Farmers Market,,,-118.82706,34.15219,,
740 N. Moorpark Road,THOUSAND OAKS,CA,91360,Whole Foods Market THOUSAND OAKS,805-77-74730,http://www.wholefoodsmarket.com/,-118.873364,34.187759,,
600 W. Hillcrest Dr,Thousand Oaks,CA,91360,Sprouts Farmers Market,,,-118.892328,34.184851,,
3761 State St.,SANTA BARBARA,CA,93105,Whole Foods Market SANTA BARBARA,805-837-6959,http://www.wholefoodsmarket.com/,-119.745418,34.439238,,
7477 N. Blackstone,Fresno,CA,93720,Sprouts Farmers Market,,,-119.793229,36.844782,,
1531 Froom Ranch Way,SAN LUIS OBISPO,CA,93405,Whole Foods Market SAN LUIS OBISPO NEW!,805-785-0194,http://www.wholefoodsmarket.com/,-120.68714,35.250748,,
1700 McHenry Blvd,Modesto,CA,95350,Sprouts Farmers Market,,,-120.99246,37.66859,,
135 Argall Way,Nevada City,CA,95959,California Organics,(530) 265-9392,,-121.025234,39.252249,,
2610 NE Hwy 20,BEND,OR,97701,Whole Foods Market BEND,,http://www.wholefoodsmarket.com/,-121.265931,44.056308,,
6760 Stanford Ranch Rd,Roseville,CA,95678,Sprouts Farmers Market,,,-121.269233,38.780328,,
7905 Greenback Lane,Citrus Heights,CA,95610,Sprouts Farmers Market,,,-121.270616,38.679762,,
8211 Laguna Blvd,Elk Grove,CA,95758,Sprouts Farmers Market,,,-121.40604,38.423475,,
"21 LOWER RAGSDALE DR., SUITE A          ",MONTEREY,CA,93940,MARKET AMERICA INC,,,-121.811438,36.574699,,
1130 Branham Lane,San Jose,CA,95118,Sprouts Farmers Market,,,-121.878166,37.261978,,
7153 Amador Plaza Rd,Dublin,CA,94568,Sprouts Farmers Market,,,-121.929168,37.7078,,
3900 Mowry Ave,Fremont,CA,94538,Sprouts Farmers Market,,,-121.986878,37.549025,,
5205 Prospect Road,San Jose,CA,95129,Sprouts Farmers Market,,,-121.992631,37.292736,,
111 E. El Camino Real,Sunnyvale,CA,94087,Sprouts Farmers Market,,,-122.030326,37.367425,,
1530 Geary Road,Walnut Creek,CA,94597,Sprouts Farmers Market,,,-122.0641,37.9264,,
17991 N.E. Redmond Way ,REDMOND,WA,98052,Whole Foods Market REDMOND,,http://www.wholefoodsmarket.com/,-122.101228,47.666098,,
630 San Antonio Rd.,Mountain View,CA,94040,Sprouts Farmers Market,,,-122.113488,37.402896,,
888 116th Avenue N.E.,BELLEVUE,WA,98004,Whole Foods Market BELLEVUE,,http://www.wholefoodsmarket.com/,-122.184586,47.618546,,
3130 Alpine Road,Portola Valley,CA,94028,Bianchini's Market - Portola Valley ,(650) 851-4391,http://www.bianchinismarket.com/,-122.193093,37.4013,,
14500 Juanita Dr NE ,Kenmore,WA,98028,Bastyr University - Bookstore,(425) 602-3000,http://bookstore.bastyr.edu/default.aspx,-122.251911,47.729936,,
2800 196th St. SW,LYNNWOOD,WA,98036,Whole Foods Market LYNNWOOD,,http://www.wholefoodsmarket.com/,-122.272315,47.819887,,
1026 N.E. 64th Street,SEATTLE,WA,98115,Whole Foods Market SEATTLE,,http://www.wholefoodsmarket.com/,-122.316227,47.675301,,
2200 Westlake Ave.,SEATTLE,WA,98109,Whole Foods Market WESTLAKE,,http://www.wholefoodsmarket.com/,-122.337659,47.618376,,
2001 15th Ave West,Seattle ,WA,98119,Whole Foods Market INTERBAY,,http://www.wholefoodsmarket.com/,-122.376946,47.637141,,
"The Ferry Building 1 Ferry Bldg, Ste 38C",San Francisco,CA,94111,Buyer's Best Friend - Wholesale and Market,(415) 223-3912,,-122.393511,37.795563,,
450 Columbus Ave.,San Francisco,CA,94133,Mercato Food & Gift,,,-122.4083,37.79923,,
798 Haight St,San Francisco,CA,94117,Santa Clara Natural Organic Market,,,-122.435247,37.771752,,
1740 Haight St,San Francisco,CA,94117,Buyer's Best Friend Mercantile Store,(415) 375-0439,,-122.450934,37.769743,,
815 Southeast 160th Ave.,MILL PLAIN,WA,98683,Whole Foods Market VANCOUVER,,http://www.wholefoodsmarket.com/,-122.505816,45.614687,,
4301 Northeast Sandy Boulevard,PORTLAND,OR,97213,Whole Foods Market HOLLYWOOD,,http://www.wholefoodsmarket.com/,-122.618601,45.536914,,
401 Kenilworth Drive #1040,Petaluma,CA,94952,Sprouts Farmers Market,,,-122.623659,38.242858,,
2825 East Burnside St,LAURELHURST,OR,97214,Whole Foods Market PORTLAND,,http://www.wholefoodsmarket.com/,-122.636728,45.523146,,
3535 NE 15th Ave.,Portland,OR,97212,Whole Foods Market PORTLAND,,http://www.wholefoodsmarket.com/,-122.65116,45.54882,,
1210 N.W. Couch Street,PORTLAND,OR,97209,Whole Foods Market PORTLAND,,http://www.wholefoodsmarket.com/,-122.683347,45.523456,,
7380 SW Bridgeport Road,TIGARD,OR,97224,Whole Foods Market BRIDGEPORT,,http://www.wholefoodsmarket.com/,-122.751863,45.39443,,
414 Kearney St.,Port Townsend,WA,98368,The Food Coop,Phone: (360) 385-2883 ,http://foodcoop.coop/,-122.770647,48.110736,,
19440 NW Cornell Road,HILLSBORO,OR,97124,Whole Foods Market TANNASBOURNE,,http://www.wholefoodsmarket.com/,-122.876962,45.533755,,
711 Vandercook Way,Longview,WA,98632,Country Village Nutrition,,,-122.923653,46.145713,,
629 Kailua Road,KAILUA,HI,96734,Whole Foods Market KAILUA,808-263-6800,http://www.wholefoodsmarket.com/,-157.742849,21.393769,,
4211 Wai'alea Ave. Ste. T1 ,HONOLULU,HI,96816,Whole Foods Market HONOLULU,808-738-0820,http://www.wholefoodsmarket.com/,-157.786106,21.277686,,
